question,option_a,option_b,option_c,option_d,correct_answer,difficulty
"איזו חברה הפיקה את הסרט ""צעצוע של סיפור""",דיסני,דרימוורקס,"פיקסאר (בבעלות דיסני, אבל היא חברת ההפקה בפועל)",וורנר ברוס,ג,4
"מהו שם הספינה שבה נסע קפטן ג'ק ספארו ב""שודדי הקאריביים""",ההולנדי המעופף,הפנינה השחורה,אנטרפרייז,מילניום פלקון,ב,6
מאיזו פרי עשוי יין אדום,תפוחים,ענבים,תפוזים,אגסים,ב,1
מהו המרכיב העיקרי בפסטה,אורז,תפוחי אדמה,קמח חיטה,תירס,ג,2
איזה משקה קפה פופולרי מקורו באיטליה ומוגש בכוס קטנה,לאטה,קפוצ'ינו,אספרסו,אמריקנו,ג,3
מהו המאכל הפולני המסורתי העשוי מכרוב כבוש,פיירוגי,ביגוס,ז'ורק,קולאץ',ב,7
איזה תבלין אדום-צהבהב נחשב ליקר ביותר בעולם,כורכום,פפריקה,זעפרן,כמון,ג,8
מהו המאכל המקסיקני העשוי מטורטייה מגולגלת וממולאת,נאצ'וס,בוריטו,קסדיה,טאקו,ב,3
מהו סוג הגבינה המשמש לרוב בפיצה מרגריטה,צ'דר,פרמזן,מוצרלה,גאודה,ג,4
איזו פחמית מפורסמת מיוצרת במפעלים של קוקה קולה,פפסי,ספרייט,קוקה קולה,פאנטה,ג,1
מהו המרכיב העיקרי בשוקולד,סוכר,קקאו,חלב,וניל,ב,2
מהו המאכל הערבי המפורסם העשוי מגרגרי חומוס מרוסקים,שווארמה,פלאפל,חומוס,כנאפה,ג,2
מהו שמו של מגדל השעון המפורסם בלונדון,מגדל אליזבת' (ביג בן),השארד,לונדון איי,טאואר ברידג',א,4
איזה פיזיקאי פיתח את תורת היחסות,אייזק ניוטון,מארי קירי,סטיבן הוקינג,אלברט איינשטיין,ד,9
מהו הצבע העיקרי של תמרור עצור,ירוק,צהוב,אדום,כחול,ג,1
איזה חוש משתמשים כדי לטעום,ראייה,שמיעה,טעם,מגע,ג,1
כמה צבעים יש בקשת בענן,5,6,7,8,ג,2
מהו כלי הנגינה הגדול ביותר,פסנתר,עוגב כנסייה,תופים,קונטרבס,ב,5
מהו שם הצעצוע הפופולרי שמורכב מקוביות צבעוניות וצריך לסובב אותו,לגו,קוביית רוביק,ג'נגה,טטריס,ב,2
מי היה אבי הפסיכואנליזה,קרל יונג,זיגמונד פרויד,אלפרד אדלר,ב.פ. סקינר,ב,7
מהו השם העברי לכוכב הצפון,סיריוס,פולאריס,נוגה,דובה גדולה,ב,6
איזה סוג של בעל חיים הוא פנדה,דוב,דביבון,חזיר,קוף,א,3
מהו הסמל הכימי למים,CO2,O2,H2O,NaCl,ג,1
מהו חג המולד,חג האורות,חג ההודיה,חג לידת ישו,חג ראש השנה,ג,1
מהו כלי העבודה שמשמש לחיתוך עץ,מברג,פטיש,מסור,מפתח שוודי,ג,1
מהי הבירה של ספרד,ברצלונה,ליסבון,מדריד,סביליה,ג,2
איזה סוג של בעל חיים הוא לוויתן,דג,דו-חי,יונק,זוחל,ג,3
כמה מיתרים יש לכינור,3,4,5,6,ב,4
מהו הכינוי למי שאינו מאמין באלוהים,פנתאיסט,אגנוסטיקן,אתאיסט,דאיסט,ג,5
מהו היסוד הכימי בעל המספר האטומי 1,הליום,פחמן,מימן,חמצן,ג,6
מי המציא את הטלפון,תומאס אדיסון,אלכסנדר גרהם בל,ניקולה טסלה,מרי קירי,ב,3
מהו חודש מרץ בסדר החודשים,השני,השלישי,הרביעי,החמישי,ב,1
מהי בירת אוסטרליה,סידני,מלבורן,קנברה,בריסביין,ג,3
מהי בירת ניו זילנד,אוקלנד,קרייסטצ'רץ',ולינגטון,המילטון,ג,4
איזה נהר זורם דרך לונדון,סיין,תמזה,דנובה,ריין,ב,3
מהי המדינה הקטנה ביותר בעולם מבחינת שטח,מונקו,סן מרינו,ותיקן,נאורו,ג,5
באיזו עיר נמצאת כיכר טיים סקוור,לוס אנג'לס,שיקגו,ניו יורק,בוסטון,ג,2
מהו המיצר המפריד בין אירופה לאפריקה,מיצר דארדנלים,מיצר בוספורוס,מיצר גיברלטר,מיצר מגלן,ג,6
"באיזו יבשת נמצאת מדבר אטקמה, אחד המדבריות היבשים בעולם",אפריקה,אסיה,דרום אמריקה,אוסטרליה,ג,7
מהי המדינה בעלת קו החוף הארוך ביותר בעולם,ארצות הברית,אינדונזיה,קנדה,רוסיה,ג,8
"איזו עיר ידועה בכינוי ""העיר הנצחית""",אתונה,רומא,קהיר,ירושלים,ב,3
מהו האי הגדול ביותר בים התיכון,כרתים,קפריסין,סיציליה,סרדיניה,ג,4
איזה רכס הרים חוצה את מרכז אירופה,הרי האנדים,הרי הרוקי,הרי האלפים,הרי ההימלאיה,ג,5
מהו ההר הגבוה ביותר באפריקה,הר קניה,הר אטנה,הר קילימנג'רו,הר דרקנסברג,ג,3
מהו היסוד הכימי המסומן באותיות Au,כסף,זהב,ברזל,נחושת,ב,4
מהי היחידה הבסיסית של החיים,אטום,מולקולה,תא,רקמה,ג,2
איזה חוש משמש אותנו לראות צבעים,שמיעה,ריח,ראייה,מגע,ג,1
מהו כוכב הלכת הקרוב ביותר לשמש,נוגה,מאדים,כוכב חמה,צדק,ג,3
איזה גז מהווה את רוב האטמוספירה של כדור הארץ,חמצן,פחמן דו-חמצני,חנקן,ארגון,ג,5
מהו החומר הקשה ביותר הידוע בטבע,ברזל,פלדה,יהלום,גרפיט,ג,6
איזה סוג של אנרגיה מופק בתחנות כוח גרעיניות,אנרגיה סולארית,אנרגיה הידרואלקטרית,אנרגיה גרעינית,אנרגיית רוח,ג,7
מהו תפקיד הדם בגוף האדם,לעכל מזון,להזרים חמצן וחומרים מזינים,לייצר הורמונים,לסנן רעלים,ב,2
איזה בעל חיים ידוע ביכולתו לשנות צבע כדי להסוות את עצמו,נמר,זיקית,ארנב,דולפין,ב,4
מהו הענף במדע העוסק בחקר היקום וכוכבי הלכת,ביולוגיה,כימיה,אסטרונומיה,גאולוגיה,ג,3
"מי היה המנהיג הרומי שנודע בשל כיבושיו הרבים, כולל גאליה",אוגוסטוס,נרון,יוליוס קיסר,קונסטנטינוס,ג,5
באיזו שנה החלה המהפכה הצרפתית,1776,1789,1815,1848,ב,6
מי בנה את הפירמידות במצרים העתיקה,יוונים,רומאים,מצרים קדמונים,פרסים,ג,3
מהו השם של התקופה בה התגלו יבשות חדשות על ידי מגלי ארצות אירופאים,ימי הביניים,תקופת הרנסנס,עידן התגליות,המהפכה התעשייתית,ג,4
"מי הייתה שליטת אנגליה בתקופת ""העידן האליזבתני""",המלכה ויקטוריה,המלכה אליזבת הראשונה,המלכה מרי הראשונה,המלכה אליזבת השנייה,ב,7
באיזו מלחמה התרחש הקרב בווטרלו,מלחמת העולם הראשונה,המלחמות הנפוליאוניות,מלחמת האזרחים האמריקאית,מלחמת שבע השנים,ב,6
"מי חיבר את ""הקומדיה האלוהית""",פטררקה,בוקאצ'ו,דנטה אליגיירי,מיכלאנג'לו,ג,8
מהו האירוע שהוביל לפרוץ מלחמת העולם הראשונה,ההתנקשות בפרנץ פרדיננד,שקיעת הטיטאניק,המהפכה הרוסית,קריסת הבורסה בוול סטריט,א,5
מי היה המנהיג של האימפריה המונגולית,אטילה ההוני,ג'ינגיס חאן,כובלאי חאן,טאמרליין,ב,4
מהי הדת המקורית של יפן,בודהיזם,שינטו,קונפוציוס,טאואיזם,ב,7
מי צייר את המונה ליזה,רפאל,לאונרדו דה וינצ'י,מיכלאנג'לו,סנדרו בוטיצ'לי,ב,2
"איזה ספר מפורסם מתחיל במשפט ""היה היתה ילדה קטנה ושמה אליס...""",פיטר פן,אליס בארץ הפלאות,הקוסם מארץ עוץ,סוד הגן הנעלם,ב,3
מהו סגנון האמנות המאופיין בדגש על רגשות עזים ותנועה דרמטית,רומנטיקה,קלאסיציזם,רוקוקו,ניאו-קלאסיציזם,א,6
"מי כתב את האפוס היווני ""האודיסיאה""",סופוקלס,אוריפידס,הומרוס,אייסכילוס,ג,4
מהו הסמל המפורסם ביותר של העיר רומא,מגדל פיזה,הקולוסאום,הפנתיאון,מזרקת טרווי,ב,1
"מי הלחין את הסימפוניה החמישית, הידועה גם כ""סימפוניית הגורל""",יוהאן סבסטיאן באך,וולפגנג אמדאוס מוצרט,לודוויג ואן בטהובן,יוהאנס ברהמס,ג,3
מהו סוג האמנות היפנית המסורתית של קיפול נייר,קאליגרפיה,סומו,אוריגמי,איקבנה,ג,5
"מי כתב את הרומן הדיסטופי ""1984""",אלדוס הקסלי,ג'ורג' אורוול,ריי ברדבורי,הרברט ג'ורג' ולס,ב,7
מהו הכלי הראשי בתזמורת סימפונית,כינור,פסנתר,תופים,חצוצרה,א,6
"מי הייתה הסופרת המפורסמת של ספרי הילדים ""בילבי בת גרב"" ו""אמיל והבלשים""",אסטריד לינדגרן,טובה ינסון,סלמה לגרלף,הנריק איבסן,א,5
באיזו עיר התקיימו המשחקים האולימפיים האחרונים,לונדון,ריו דה ז'ניירו,טוקיו,פריז,ג,2
כמה שחקנים יש בקבוצת כדורסל על המגרש,4,5,6,7,ב,1
"איזה ספורט ידוע בכינוי ""המשחק היפה""",בייסבול,כדורגל,טניס,כדורסל,ב,3
מהו ספורט המים שבו שחיינים משתמשים בסנפירים ומסכה,שחייה צורנית,צלילה,כדורמים,גלישת גלים,ב,4
מי נחשב לשחקן הטניס הגדול ביותר בכל הזמנים (לעתים קרובות מוזכר בהקשר זה),רפאל נדאל,רוג'ר פדרר,נובאק ג'וקוביץ',פיט סמפרס,ב,2
באיזה ענף ספורט השחקנים לובשים קסדות עם סורגים ומחזיקים מקלות ארוכים בעלי רשת בקצה,בייסבול,לאקרוס,הוקי שדה,סופטבול,ב,5
"באיזו מדינה נערכים משחקי ה""סופרבול"" בדרך כלל",קנדה,ארצות הברית,מקסיקו,בריטניה,ב,3
מהו סוג הספורט שבו רוכבים על סוסים וקופצים מעל מכשולים,מרוצי סוסים,דרסאז',קפיצות ראווה,פולו,ג,6
מי הייתה המתעמלת האמנותית הישראלית שזכתה במדליות אולימפיות,לינוי אשרם,נטע ריבקין,אירה ויגדורצ'יק,דריה אטמנוב,א,7
כמה סיבובים יש במרוץ פורמולה 1 סטנדרטי,50,60,70,משתנה לפי מסלול,ד,8
מי הייתה אלת האהבה והיופי במיתולוגיה היוונית,הרה,אתנה,אפרודיטה,ארטמיס,ג,3
מהו שמו של הנהר המיתולוגי שחוצה את השאול (האדס),נילוס,סטיקס,אכרון,ליטה,ב,6
מי היה הגיבור המיתולוגי שנודע בכוחו הרב וב-12 משימותיו,אודיסאוס,הרקולס,תסאוס,יאסון,ב,4
מהו ספר הקודש של הנצרות,"תנ""ך",קוראן,ברית חדשה,וודות,ג,1
מי היה אל הים במיתולוגיה הרומית,מארס,יופיטר,נפטון,ונוס,ג,5
מהו החג היהודי שבו חוגגים את יציאת מצרים,ראש השנה,יום כיפור,פסח,שבועות,ג,2
מי בנה את המקדש בירושלים,דוד המלך,שלמה המלך,הורדוס,יאשיהו,ב,7
"מהו העץ הקדוש בבודהיזם, תחתיו זכה בודהה להארה",עץ האלון,עץ התאנה,עץ הבודהי,עץ המנגו,ג,8
איזה בעל חיים מיתולוגי מת מהאפר שלו ונולד מחדש,דרקון,פגסוס,עוף החול,חד קרן,ג,4
מי מהבאים אינו אחד מארבעת הבשורות בברית החדשה,מתי,מרקוס,פאולוס,יוחנן,ג,9
"מי ביים את הסרט ""שליחות קטלנית 2: יום הדין""",רידלי סקוט,ג'יימס קמרון,סטיבן ספילברג,ג'ורג' לוקאס,ב,5
"איזה שחקן מגלם את בטמן בסרט ""האביר האפל""",בן אפלק,כריסטיאן בייל,ג'ורג' קלוני,מייקל קיטון,ב,3
מהו סוג הסרט שבו מתרחשים אירועים על-טבעיים ומפחידים,קומדיה,אימה,דרמה,רומנטיקה,ב,1
"מהו שמו של הצעצוע המדבר הראשי בסרט ""צעצוע של סיפור""",באז שנות אור,וודי,רקס,חזיר,ב,4
איזה סרט זכה באוסקר לסרט הטוב ביותר בשנת 2023,הכול בכל מקום בבת אחת,רוחות אינישרין,משולש העצבות,אופנהיימר,א,8
"מהו שמו של בית הספר לקוסמים בסדרת ""הארי פוטר""",בובאטון,הוגוורטס,דורמשטרנג,אילברמורני,ב,2
"מי יצר את סדרת הטלוויזיה ""משחקי הכס""",ג'ורג' ר.ר. מרטין,דייוויד בניוף וד.ב. וייס,ג'יי.ג'יי. אברהמס,ג'וס ווידון,ב,7
מהו שמו של הסוכן החשאי הבריטי המפורסם עם המספר 007,ג'ייסון בורן,אית'ן האנט,ג'יימס בונד,ג'ק ריצ'ר,ג,1
"איזו חברה ידועה בסרטי האנימציה שלה, כגון ""מלך האריות"" ו""בת הים הקטנה""",דרימוורקס,פיקסאר,דיסני,סטודיו ג'יבלי,ג,3
מאיזה ירק מכינים פירה,גזר,תפוח אדמה,ברוקולי,קישוא,ב,1
"איזה מאכל איטלקי מפורסם עשוי משכבות של פסטה, בשר וגבינה",ספגטי בולונז,פיצה,לזניה,ריזוטו,ג,3
מהו המרכיב העיקרי במשקה התה,קפה,עלי תה,פרחים,פירות,ב,2
איזה מאכל צרפתי מפורסם עשוי מבצק עלים ומילוי מתוק או מלוח,בגט,קרואסון,קרפ,קיש,ב,6
"מהו התבלין המרכזי במטבח ההודי, המעניק לו את צבעו הצהוב",פלפל שחור,כמון,כורכום,ג'ינג'ר,ג,5
"מהו המאכל היפני העשוי מאורז וחומץ, לעתים קרובות עם דגים נאים",נודלס,טמפורה,סושי,ראמן,ג,2
איזה סוג של לחם שטוח משמש להכנת פיצה,פיתה,בגט,טורטייה,בצק פיצה,ד,1
מהו המאכל הפולקלורי המקסיקני העשוי מקקאו מרוסקים,סלסה,גוואקמולה,מולה פובלנו,צ'ילי קון קרנה,ג,7
איזה פרי ידוע בכך שהוא משמש להכנת שמן זית,אבוקדו,קוקוס,זית,חמניות,ג,3
מהו המאכל הפופולרי בגרמניה העשוי מבשר נקניק מוגש בלחמנייה,שניצל,נקניקייה בלחמנייה (הוט דוג),פרעצל,כרוב כבוש,ב,4
מהי בירת אוסטרליה,סידני,מלבורן,קנברה,בריסביין,ג,3
מהו הצבע העיקרי של דגל ישראל,ירוק,אדום,כחול ולבן,שחור,ג,1
מהו החג הלאומי של ארצות הברית,יום העבודה,יום הזיכרון,יום העצמאות,חג ההודיה,ג,3
מי המציא את הנורה החשמלית (הגרסה המסחרית),בנג'מין פרנקלין,אלכסנדר גרהם בל,תומאס אדיסון,ניקולה טסלה,ג,4
מהו כלי הנגינה שמנוגן על ידי משיכת קשת על מיתרים,תוף,גיטרה,כינור,חליל,ג,2
כמה ימים יש בשנה רגילה (לא שנה מעוברת),360,365,366,370,ב,1
מהו שם הבניין המפורסם בו שוכנת המלכה באנגליה,ארמון קנסינגטון,טאואר אוף לונדון,ארמון בקינגהאם,ארמון וסטמינסטר,ג,3
"מי כתב את הספר ""על עכברים ואנשים""",ארנסט המינגוויי,ג'ון סטיינבק,פרנסיס סקוט פיצג'רלד,ויליאם פוקנר,ב,8
"מהו החומר שיוצר את ""הזוהר הצפוני"" (אורורה בוראליס)",גזים געשיים,חלקיקים טעונים מהשמש,השתקפות של אור ירח,זיהום אוויר,ב,9
"מהו שם הצעצוע שהיה להיט עולמי והורכב משני גלגלים המחוברים בציר, ומטרתו הייתה לסובב אותו במהירות",סביבון,יויו,בייבלייד,דיסקית מעופפת,ב,5
מי היה המדען שגילה את חוקי התורשה באמצעות ניסויים בצמחי אפונה,צ'ארלס דרווין,לואי פסטר,גרגור מנדל,אלברט איינשטיין,ג,7
מהי התרופה הנפוצה ביותר בעולם,פניצילין,אספירין,פרצטמול (אקמול),איבופרופן,ג,6
באיזה יום בשבוע מתחילה בדרך כלל שנת הלימודים בישראל,ראשון,שני,שלישי,חמישי,א,2
מהו המטבע של יפן,יואן,וון,ין,רופי,ג,4
"מי כתב את מילות ההמנון הלאומי של ישראל, ""התקווה""",חיים נחמן ביאליק,נפתלי הרץ אימבר,יהודה לייב גורדון,שאול טשרניחובסקי,ב,5
מהו הסמל הכימי של זהב,Ag,Au,Fe,Cu,ב,3
מהו המספר הגדול ביותר שניתן לכתוב בספרות רומיות,M,C,D,"יש גבולות מסוימים, אך ניתן להרכיב מספרים גדולים באמצעות סימונים מיוחדים.",ד,9
איזה כלי נגינה דורש נשיפה ובעל חורים שסוגרים עם אצבעות,תוף,גיטרה,חליל,פסנתר,ג,2
מי היה האדם הראשון שהלך על הירח,יורי גגרין,ניל ארמסטרונג,באז אולדרין,מייקל קולינס,ב,2
מי נרצח בשנת 1997 מחוץ לביתו במיאמי,ג'ורג'יו ארמאני,קארל לגרפלד,ג'אני ורסאצ'ה,אלכסנדר מקווין,ג,5
מי זכתה בעונה הראשונה של The Voice בישראל,לינה מחול,מאיה בוסקילה,קובי אפללו,ג'ולייטה,א,4
באיזה סרט שיחקה אודרי הפבורן בתור הולי גולייטלי,רומא בעירום,ארוחת בוקר בטיפאני,סברינה,חלון אחורי,ב,3
מי עיצב את שמלת הכלה של הנסיכה דיאנה,ויויאן ווסטווד,סטלה מקרטני,דייוויד ואליזבת עמנואל,זאק פוזן,ג,8
באיזו מדינה נולדה גל גדות,"ארה""ב",ברזיל,צרפת,ישראל,ד,1
באיזו סדרת טלוויזיה כיכבה שרה ג'סיקה פרקר כקארי בראדשו,עקרות בית נואשות,בנות גילמור,סקס והעיר הגדולה,חברים,ג,2
"מי זכתה בעונה הראשונה של ""המירוץ לדראג של רופול""",ביונסה,בי בי זאהרה בנה,שאנג'לה,ג'ינקס מונסון,ב,7
"מי כתב וביים את הסרט ""לה לה לנד""",דמיאן שאזל,ג'יימס קמרון,ג'ורג' לוקאס,קוונטין טרנטינו,א,4
איזו זמרת שברה את שיא הצפיות ביוטיוב ב-24 שעות עם השיר “Hello”,אדל,טיילור סוויפט,סלינה גומז,ריהאנה,א,3
באיזה סרט שיחק ליאונרדו דיקפריו דמות בשם ג'ורדן בלפורט,התחלה,הזאב מוול סטריט,הטיטאניק,שאטר איילנד,ב,2
מי ייסד את מותג האופנה Fenty,ריהאנה,ביונסה,ניקי מינאז',מייגן דה סטליון,א,3
איזו תחרות מוזיקלית הצמיחה את קארי אנדרווד,אמריקן איידול,The Voice,X-Factor,Got Talent,א,4
איזה שיר הפך את גנגנם סטייל לוויראלי עולמית,Gangnam Style,Harlem Shake,Despacito,Baby,א,2
באיזה צבע מזוהה בית האופנה ולנטינו,אדום,שחור,כחול,זהב,א,5
איזו תחרות יופי בינלאומית נחשבת ליוקרתית ביותר,מיס עולם,מיס יוניברס,מיס אינטרנשיונל,מיס גרנד,ב,6
מי גילמה את מלטילדה בסרט המפורסם משנת 1996,מרים וילסון,נטלי פורטמן,אמה ווטסון,מארה וילסון,ד,3
איזו סדרת סרטים מבוססת על דמות בשם קאטניס אוורדין,מפוצלים,המשחקים של אנדר,משחקי הרעב,מבוך הרץ,ג,2
איזו סדרה מוזיקלית הייתה פריצת הדרך של ליאה מישל,האנה מונטנה,Glee,High School Musical,Riverdale,ב,4
מי יצר את מותג האופנה Off-White,ריקרדו טישי,וירג'יל אבלו,טום פורד,מארק ג'ייקובס,ב,7
מהו שם הפסטיבל השנתי שמשלב מוזיקה ואופנה במדבר בקליפורניה,טומורולנד,ברנינג מן,קואצ'לה,סאנדנס,ג,4
מי שרה את שיר הנושא של הסרט טיטאניק,מריה קארי,וויטני יוסטון,סלין דיון,טיילור סוויפט,ג,2
"מהו שמו של בית הספר לקוסמים בסדרת ""הארי פוטר""",בובאטון,הוגוורטס,דורמשטרנג,אילברמורני,ב,2
